row;referenced_author;referenced_author_id;referenced_work_id;referenced_source_id
240;James, George Wharton;30310;40315;0
241;Kahlenberg, Mary;30311;40316;0
242;Berlant, Anthony;30312;40316;0
243;Kellogg, Mrs. Charlotte;30313;40317;0
244;King, M. E.;30314;40318;0
245;Mead, C.;30315;40319;0
246;Murra, J.;30316;40320;60112
247;Palliser, Mrs. Fanny;30317;40321;0
248;Paz, Octavio;30318;40322;0
249;Phillips, W. J.;30319;40323;0
250;Reichard, Gladys;30320;40324;0
251;Reichard, Gladys;30320;40325;0
252;Schneider, Peggy;30321;40326;0
253;Stafford, C. E.;30322;40327;0
254;Vreeland, J.;30323;40328;0
255;Warble, Patricia;30324;40329;0
256;Wingert, Paul S.;30325;40330;0
257;Bell, Q.;30326;40331;0
258;National Collection of Fine Arts;30327;40332;0
259;Cohen, A. A.;30328;40333;0
260;Kavanaugh, Mary Oldham Eagle (Editor);30329;40334;0
261;Osgood, Mrs. Frances S.;30330;40335;0
262;Hale, Mrs. Sarah Josepha;30331;40336;0
263;Hawthorne, Nathaniel;30332;40337;0
264;Dumont, Henrietta;30333;40338;0
265;Gerdts, William H.;30334;40339;0
266;Burke, Russell;30335;40339;0
267;Osgood, Mrs. Frances S.;30330;40340;0
268;Oakley, C. A.;30336;40341;0
269;Howarth, T.;30337;40342;0
270;Barnes, H. Jefferson;30338;40343;0
271;no name;30339;40344;0
272;no name;30340;40345;0
273;no name;30341;40346;0
274;no name;30342;40347;0
275;Schmultzer, R.;30343;40348;0
276;Robineau, Samuel E.;30344;40349;60114
277;Doat, Taxile;30345;40350;0
278;Curran, Grace Wickham;30346;40351;60115
279;Evans, Paul;30347;40352;0
280;Robineau, Adelaide Alsop;30348;40353;60116
281;no name;30349;40354;0
282;Robineau, Adelaide Alsop;30348;40355;0
283;Wingler, Hans M.;30350;40356;0
284;Bayer, Herbert;30351;40357;0
285;Gropius, Ise;30352;40357;0
286;Gropius, Walter;30353;40357;0
287;Baro, Gene;30354;40358;0
288;Albers, Anni;30355;40359;0
289;Neumann, Eckhard;30356;40360;0
290;no name;30357;40361;0
291;no name;30358;40362;60117
292;Broude, Norma;30359;40363;60118
293;Friedlander, Walter;30360;40364;0
294;Freedberg, Sydney J.;30361;40365;0
295;Griffith, Ruby Mae;30362;40366;0
296;Griffith, Frank B.;30363;40366;0
297;Aldrich, Dot;30364;40367;0
298;Williams, Hazel Pearson;30365;40368;0
299;Hammond, Harmony;30366;40369;60062
300;Hammond, Harmony;30366;40370;60119
301;Metzger, Deena;30367;40371;60120
302;Hiler, Hilaire;30368;40372;0
303;Evans, Paul;30347;40373;0
304;Sutherland, Anne;30370;40374;0
305;Barton, Lucy;30371;40375;0
306;Earle, Alice Morse;30372;40376;0
307;Caplan, L.;30373;40377;0
308;Aziz, Barbara Nimri;30374;40378;0
309;Jones, R.;30375;40379;0
